Iteration,Rate
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.015384615384615385
66,0.030303030303030304
67,0.04477611940298507
68,0.058823529411764705
69,0.07246376811594203
70,0.08571428571428572
71,0.09859154929577464
72,0.1111111111111111
73,0.1232876712328767
74,0.13513513513513514
75,0.14666666666666667
76,0.15789473684210525
77,0.16883116883116883
78,0.1794871794871795
79,0.189873417721519
80,0.2
81,0.20987654320987653
82,0.21951219512195122
83,0.2289156626506024
84,0.23809523809523808
85,0.24705882352941178
86,0.2558139534883721
87,0.26436781609195403
88,0.2727272727272727
89,0.2808988764044944
90,0.28888888888888886
91,0.2967032967032967
92,0.30434782608695654
93,0.3118279569892473
94,0.3191489361702128
95,0.3263157894736842
96,0.3333333333333333
97,0.3402061855670103
98,0.3469387755102041
99,0.35353535353535354
100,0.36
101,0.36633663366336633
102,0.37254901960784315
103,0.3786407766990291
104,0.38461538461538464
105,0.3904761904761905
106,0.39622641509433965
107,0.40186915887850466
108,0.4074074074074074
109,0.41284403669724773
110,0.41818181818181815
111,0.42342342342342343
112,0.42857142857142855
113,0.4336283185840708
114,0.43859649122807015
115,0.4434782608695652
116,0.4482758620689655
117,0.452991452991453
118,0.4576271186440678
119,0.46218487394957986
120,0.4666666666666667
121,0.47107438016528924
122,0.47540983606557374
123,0.4796747967479675
124,0.4838709677419355
125,0.488
126,0.49206349206349204
127,0.49606299212598426
128,0.5
