Iteration,Rate
1,0.0
2,0.0
3,0.0
4,0.0625
5,0.1
6,0.041666666666666664
7,0.03571428571428571
8,0.0625
9,0.05555555555555555
10,0.025
11,0.022727272727272728
12,0.020833333333333332
13,0.038461538461538464
14,0.10714285714285714
15,0.08333333333333333
16,0.4375
17,0.7058823529411765
18,0.7222222222222222
19,0.7763157894736842
20,0.85
21,0.8571428571428571
22,0.8181818181818182
23,0.8369565217391305
24,0.8958333333333334
25,0.92
26,0.8942307692307693
27,0.9074074074074074
28,0.8928571428571429
29,0.9051724137931034
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,0.9928571428571429
36,1.0
37,1.0
38,1.0
