Iteration,Rate
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.03571428571428571
8,0.0
9,0.05555555555555555
10,0.025
11,0.06818181818181818
12,0.08333333333333333
13,0.038461538461538464
14,0.03571428571428571
15,0.016666666666666666
16,0.1875
17,0.3235294117647059
18,0.2916666666666667
19,0.4473684210526316
20,0.4625
21,0.5
22,0.6136363636363636
23,0.6956521739130435
24,0.625
25,0.7
26,0.7403846153846154
27,0.7314814814814815
28,0.7767857142857143
29,0.7931034482758621
30,0.8
31,0.8387096774193549
32,0.8203125
33,0.8636363636363636
34,0.8823529411764706
35,0.9142857142857143
36,0.8472222222222222
37,0.8918918918918919
38,0.8552631578947368
